Day,Outlook,Humidity,Wind,Play
1,Sunny,High,Weak,No
2,Sunny,High,Strong,No
3,Overcast,High,Weak,Yes
4,Rain,High,Weak,Yes
5,Rain,Normal,Weak,Yes
6,Rain,Normal,Strong,No
7,Overcast,Normal,Strong,Yes
8,Sunny,High,Weak,No
9,Sunny,Normal,Weak,Yes
10,Rain,Normal,Weak,Yes
11,Sunny,Normal,Strong,Yes
12,Overcast,High,Strong,Yes
13,Overcast,Normal,Weak,Yes
14,Rain,High,Strong,No
15,Sunny,High,Weak,No
16,Sunny,High,Strong,No
17,Overcast,High,Weak,Yes
18,Rain,High,Weak,Yes
19,Rain,Normal,Weak,Yes
20,Rain,Normal,Strong,No
21,Overcast,Normal,Strong,Yes
22,Sunny,High,Weak,No
23,Sunny,Normal,Weak,Yes
24,Rain,Normal,Weak,Yes
25,Sunny,Normal,Strong,Yes
26,Overcast,High,Strong,Yes
26,Overcast,Normal,Weak,Yes
28,Rain,High,Strong,No
